NEWID,SEQNO,ALCNO,ADLTCLOX,ADLT_LOX,CHLDCLOX,CHLD_LOX,CLOGFTX,CLOGFTX_,QYEAR,REC_STAT
05091814,5,0,250,D,,A,60,D,20232,1
05091844,4,0,30,F,,A,120,F,20232,1
05091874,1,0,200,D,200,D,1200,D,20232,1
05091894,1,0,150,D,100,D,0,D,20232,1
05091924,2,0,0,D,,A,0,D,20232,1
05091954,1,0,50,D,35,D,0,D,20232,1
05091964,1,0,80,D,,A,80,D,20232,1
05091974,1,0,0,D,,A,0,D,20232,1
05092144,3,0,150,D,,A,0,D,20232,1
05092164,2,0,500,D,,A,200,D,20232,1
05092234,3,0,50,D,,A,75,D,20232,1
05092244,2,0,1300,D,,A,0,D,20232,1
05092264,8,0,0,D,,A,0,D,20232,1
05092274,2,0,200,D,,A,0,D,20232,1
05092284,3,0,0,D,900,D,0,D,20232,1
05092324,2,0,250,D,,A,0,D,20232,1
05092394,1,0,0,D,0,D,0,D,20232,1
05092404,4,0,500,D,500,D,0,D,20232,1
05092424,1,0,0,D,,A,0,D,20232,1
05092454,1,0,100,D,,A,0,D,20232,1
05092504,1,0,47,D,,A,0,D,20232,1
05092614,2,0,60,D,,A,0,D,20232,1
05092704,1,0,1000,D,500,D,0,D,20232,1
05092734,1,0,50,D,200,D,0,D,20232,1
05092754,1,0,150,D,,A,0,D,20232,1
05092764,1,0,0,D,,A,250,D,20232,1
05092784,1,0,0,D,,A,0,D,20232,1
05092804,2,0,1500,D,,A,0,D,20232,1
05092904,1,0,0,D,,A,0,D,20232,1
05092944,1,0,0,D,,A,0,D,20232,1
05092964,5,0,687,D,532,D,0,D,20232,1
05093004,3,0,200,D,,A,0,D,20232,1
05093064,3,0,0,D,,A,200,D,20232,1
05093114,5,0,0,D,,A,0,D,20232,1
05093204,7,0,150,D,200,D,0,D,20232,1
05093224,2,0,0,D,,A,30,D,20232,1
05093244,1,0,120,D,,A,0,D,20232,1
05093284,1,0,0,D,,A,0,D,20232,1
05093344,1,0,0,D,,A,0,D,20232,1
05093354,1,0,150,D,,A,0,D,20232,1
05093364,3,0,491,D,,A,0,D,20232,1
05093374,1,0,50,D,,A,0,D,20232,1
05093414,2,0,450,D,,A,150,D,20232,1
05093494,1,0,250,D,250,D,0,D,20232,1
05093534,1,0,200,D,,A,0,D,20232,1
05093664,3,0,209,D,,A,0,D,20232,1
05093674,2,0,80,D,,A,50,D,20232,1
05093694,1,0,300,D,,A,0,D,20232,1
05093704,2,0,450,D,325,D,0,D,20232,1
05093714,1,0,0,D,,A,0,D,20232,1
05093784,1,0,0,D,,A,0,D,20232,1
05093794,2,0,400,D,,A,0,D,20232,1
05093804,1,0,200,F,,A,500,F,20232,1
05093824,1,0,50,D,50,D,0,D,20232,1
05093834,2,0,400,D,600,D,800,D,20232,1
05093884,11,0,3800,D,200,D,0,D,20232,1
05093894,1,0,56,D,,A,0,D,20232,1
05093904,5,0,35,D,200,D,0,D,20232,1
05093944,1,0,0,D,,A,0,D,20232,1
05093964,1,0,500,D,145,D,0,D,20232,1
05094044,1,0,0,D,,A,0,D,20232,1
05094064,5,0,200,D,,A,0,D,20232,1
05094104,5,0,1468,D,,A,150,D,20232,1
05094134,5,0,40,D,,A,0,D,20232,1
05094144,3,0,0,D,,A,0,D,20232,1
05094164,1,0,0,D,,A,0,D,20232,1
05094184,2,0,0,D,,A,0,D,20232,1
05094224,1,0,0,D,,A,0,D,20232,1
05094234,2,0,100,D,100,D,0,D,20232,1
05094264,2,0,35,D,,A,0,D,20232,1
05094314,5,0,100,D,,A,10,D,20232,1
05094364,1,0,0,D,,A,0,D,20232,1
05094374,1,0,0,D,100,D,0,D,20232,1
05094404,1,0,200,D,,A,80,D,20232,1
05094414,3,0,0,D,,A,0,D,20232,1
05094494,3,0,400,D,200,D,100,D,20232,1
05094504,2,0,450,D,200,D,0,D,20232,1
05094514,1,0,0,D,,A,0,D,20232,1
05094544,2,0,200,D,,A,0,D,20232,1
05094554,1,0,175,D,,A,0,D,20232,1
05094674,2,0,0,D,250,D,0,D,20232,1
05094684,1,0,100,D,,A,0,D,20232,1
05094734,1,0,226,D,,A,0,D,20232,1
05094754,1,0,0,D,,A,0,D,20232,1
05094824,1,0,40,D,,A,0,D,20232,1
05094874,1,0,150,D,,A,100,D,20232,1
05094904,3,0,175,D,,A,0,D,20232,1
05094914,1,0,210,D,0,D,0,D,20232,1
05094934,2,0,50,D,,A,0,D,20232,1
05095014,2,0,200,D,,A,0,D,20232,1
05095034,1,0,80,D,,A,0,D,20232,1
05095054,1,0,0,D,,A,0,D,20232,1
05095084,1,0,85,D,,A,0,D,20232,1
05095144,3,0,150,D,,A,0,D,20232,1
05095154,7,0,304,D,,A,300,D,20232,1
05095224,1,0,200,D,,A,75,D,20232,1
05095244,1,0,11,D,,A,0,D,20232,1
05095264,1,0,250,D,,A,0,D,20232,1
05095274,1,0,450,D,,A,0,D,20232,1
05095294,1,0,110,D,,A,0,D,20232,1
05095324,2,0,550,D,,A,0,D,20232,1
05095344,3,0,613,D,,A,0,D,20232,1
05095354,1,0,130,D,,A,0,D,20232,1
05095374,2,0,250,D,,A,20,D,20232,1
05095444,5,0,300,D,300,D,0,D,20232,1
05095544,1,0,80,D,20,D,0,D,20232,1
05095564,11,0,321,D,181,D,0,D,20232,1
05095594,1,0,500,D,0,D,0,D,20232,1
05095634,2,0,210,D,,A,0,D,20232,1
05095674,1,0,320,D,,A,0,D,20232,1
05095744,4,0,150,D,300,D,0,D,20232,1
05095784,2,0,0,D,,A,0,D,20232,1
05095794,1,0,300,D,,A,200,D,20232,1
05095844,2,0,2000,D,,A,100,D,20232,1
05095854,1,0,300,D,200,D,0,D,20232,1
05095884,1,0,200,D,,A,0,D,20232,1
05096024,3,0,200,D,,A,400,D,20232,1
05096064,1,0,144,D,,A,60,D,20232,1
05096124,1,0,0,D,,A,0,D,20232,1
05096144,1,0,357,D,200,D,0,D,20232,1
05096174,6,0,10,D,50,D,0,D,20232,1
05096244,1,0,0,D,,A,0,D,20232,1
05096254,1,0,50,D,50,D,20,D,20232,1
05096274,3,0,400,D,,A,0,D,20232,1
05096344,1,0,600,D,200,D,0,D,20232,1
05096354,1,0,0,D,250,D,0,D,20232,1
05096364,1,0,200,D,,A,0,D,20232,1
05096424,1,0,40,D,,A,0,D,20232,1
05096464,2,0,80,D,80,D,0,D,20232,1
05096564,2,0,370,D,,A,0,D,20232,1
05096574,3,0,300,D,,A,0,D,20232,1
05096664,2,0,40,D,,A,0,D,20232,1
05096684,3,0,140,D,,A,0,D,20232,1
05096714,1,0,0,D,,A,0,D,20232,1
05096724,2,0,0,D,,A,0,D,20232,1
05096754,1,0,0,D,,A,0,D,20232,1
05096764,6,0,3100,D,400,D,200,D,20232,1
05096784,1,0,40,D,,A,0,D,20232,1
05096804,1,0,400,D,300,D,0,D,20232,1
05096834,1,0,0,D,,A,0,D,20232,1
05096854,2,0,0,D,,A,0,D,20232,1
05096864,1,0,0,D,,A,0,D,20232,1
05096884,2,0,0,D,,A,0,D,20232,1
05096914,1,0,0,D,,A,0,D,20232,1
05096924,1,0,450,D,150,D,0,D,20232,1
05096944,2,0,0,D,200,D,0,D,20232,1
05096954,1,0,100,D,,A,59,D,20232,1
05096984,3,0,379,D,,A,0,D,20232,1
05097004,1,0,0,D,,A,0,D,20232,1
05097034,4,0,0,D,,A,0,D,20232,1
05097084,1,0,25,D,25,D,0,D,20232,1
05097134,3,0,150,D,250,D,0,D,20232,1
05097144,1,0,400,D,,A,0,D,20232,1
05097164,3,0,0,D,,A,0,D,20232,1
05097234,1,0,0,D,0,D,0,D,20232,1
05097274,3,0,650,D,,A,0,D,20232,1
05097294,3,0,264,D,,A,0,D,20232,1
05097334,5,0,300,D,,A,0,D,20232,1
05097354,3,0,110,D,,A,0,D,20232,1
05097364,2,0,0,D,,A,0,D,20232,1
05097374,1,0,60,D,,A,0,D,20232,1
05097404,1,0,0,D,,A,0,D,20232,1
05097424,1,0,0,D,,A,0,D,20232,1
05097434,4,0,800,D,,A,0,D,20232,1
05097554,1,0,200,D,,A,200,D,20232,1
05097584,1,0,1273,D,,A,0,D,20232,1
05097604,1,0,0,D,,A,0,D,20232,1
05097614,1,0,0,D,,A,0,D,20232,1
05097624,1,0,300,D,,A,0,D,20232,1
05097644,1,0,0,D,,A,0,D,20232,1
05097664,6,0,0,D,0,D,0,D,20232,1
05097694,3,0,0,D,,A,150,D,20232,1
05097704,1,0,0,D,,A,0,D,20232,1
05097724,5,0,100,D,100,D,200,D,20232,1
05097734,1,0,100,D,,A,0,D,20232,1
05097784,3,0,300,D,,A,0,D,20232,1
05097794,3,0,600,D,,A,0,D,20232,1
05097804,3,0,200,D,,A,300,D,20232,1
05097834,1,0,300,D,,A,0,D,20232,1
05097874,1,0,30,D,,A,0,D,20232,1
05097934,5,0,150,D,150,D,0,D,20232,1
05097944,1,0,170,D,,A,0,D,20232,1
05098044,1,0,0,D,,A,0,D,20232,1
05098054,4,0,1500,D,,A,0,D,20232,1
05098064,1,0,300,D,100,D,0,D,20232,1
05098094,1,0,0,D,,A,0,D,20232,1
05098114,1,0,0,D,,A,0,D,20232,1
05098164,4,0,450,D,,A,0,D,20232,1
05098174,1,0,250,D,,A,0,D,20232,1
05098204,3,0,150,D,,A,0,D,20232,1
05098244,1,0,0,D,,A,0,D,20232,1
05098264,1,0,0,D,,A,65,D,20232,1
05098284,1,0,0,D,,A,0,D,20232,1
05098294,1,0,0,D,,A,0,D,20232,1
05098304,1,0,0,D,300,D,0,D,20232,1
05098314,2,0,400,D,,A,0,D,20232,1
05098344,1,0,500,D,,A,0,D,20232,1
05098364,1,0,530,D,,A,0,D,20232,1
05098394,1,0,0,D,,A,0,D,20232,1
05098454,1,0,0,D,,A,0,D,20232,1
05098464,1,0,300,D,130,D,0,D,20232,1
05098494,7,0,200,D,,A,0,D,20232,1
05098504,3,0,100,D,,A,0,D,20232,1
05098514,1,0,0,D,,A,0,D,20232,1
05098524,5,0,298,D,,A,0,D,20232,1
05098564,1,0,0,D,0,D,0,D,20232,1
05098604,1,0,0,D,0,D,0,D,20232,1
05098614,3,0,1000,D,,A,0,D,20232,1
05098634,1,0,0,D,0,D,0,D,20232,1
05098674,2,0,0,D,0,D,0,D,20232,1
05098684,1,0,0,D,,A,0,D,20232,1
05098694,1,0,400,D,300,D,100,D,20232,1
05098714,1,0,300,D,,A,0,D,20232,1
05098734,1,0,200,D,,A,0,D,20232,1
05098764,2,0,0,D,0,D,0,D,20232,1
05098774,1,0,500,F,,A,0,D,20232,1
05098814,5,0,0,D,,A,0,D,20232,1
05098854,2,0,200,D,400,D,0,D,20232,1
05098884,1,0,0,D,,A,0,D,20232,1
05098894,3,0,200,D,,A,0,D,20232,1
05098954,1,0,0,D,,A,0,D,20232,1
05098994,8,0,0,D,,A,50,D,20232,1
05099004,3,0,300,D,0,D,100,D,20232,1
05099024,1,0,0,D,,A,0,D,20232,1
05099034,1,0,50,D,,A,0,D,20232,1
05099044,3,0,400,D,400,D,0,D,20232,1
05099054,1,0,150,D,150,D,0,D,20232,1
05099144,5,0,150,D,,A,0,D,20232,1
05099204,5,0,30,D,,A,0,D,20232,1
05099264,3,0,200,D,,A,65,D,20232,1
05099274,2,0,150,D,,A,0,D,20232,1
05099314,1,0,100,D,,A,0,D,20232,1
05099364,1,0,300,D,,A,120,D,20232,1
05099374,5,0,36,D,,A,0,D,20232,1
05099394,1,0,0,D,50,D,0,D,20232,1
05099454,5,0,600,D,400,D,135,D,20232,1
05099474,1,0,200,D,,A,0,D,20232,1
05099534,2,0,250,D,,A,50,D,20232,1
05099564,4,0,300,D,,A,0,D,20232,1
05099594,1,0,0,D,,A,0,D,20232,1
05099614,2,0,76,D,,A,0,D,20232,1
05099634,1,0,0,D,,A,0,D,20232,1
05099644,2,0,35,D,,A,0,D,20232,1
05099664,2,0,400,D,,A,0,D,20232,1
05099704,1,0,1888,D,,A,120,D,20232,1
05099714,1,0,280,D,,A,0,D,20232,1
05099794,1,0,0,D,,A,0,D,20232,1
05099874,5,0,50,D,,A,0,D,20232,1
05099894,1,0,0,D,,A,0,D,20232,1
05099904,2,0,600,D,120,D,400,D,20232,1
05099944,1,0,400,D,200,D,150,D,20232,1
05099994,1,0,50,D,,A,0,D,20232,1
05100004,1,0,0,D,,A,0,D,20232,1
05100054,3,0,550,D,,A,0,D,20232,1
05100074,1,0,0,D,,A,0,D,20232,1
05100174,1,0,150,D,,A,0,D,20232,1
05100184,1,0,0,D,,A,0,D,20232,1
05100194,4,0,120,D,92,D,0,D,20232,1
05100234,2,0,500,D,,A,0,D,20232,1
05100264,1,0,0,D,,A,0,D,20232,1
05100274,1,0,0,D,,A,0,D,20232,1
05100304,2,0,50,D,,A,0,D,20232,1
05100354,4,0,150,D,700,D,0,D,20232,1
05100374,1,0,0,D,,A,40,D,20232,1
05100414,2,0,1000,D,,A,0,D,20232,1
05100464,1,0,60,D,,A,0,D,20232,1
05100484,1,0,0,D,,A,0,D,20232,1
05100494,1,0,0,D,200,D,0,D,20232,1
05100524,1,0,0,D,,A,0,D,20232,1
05100574,1,0,150,D,,A,0,D,20232,1
05100584,1,0,200,D,,A,0,D,20232,1
05100674,3,0,0,D,,A,0,D,20232,1
05100684,1,0,0,D,,A,0,D,20232,1
05100714,1,0,300,D,,A,0,D,20232,1
05100814,5,0,1000,D,,A,300,D,20232,1
05100824,4,0,500,D,,A,78,D,20232,1
05100934,2,0,300,D,,A,0,D,20232,1
05100944,1,0,0,D,,A,0,D,20232,1
05100954,1,0,277,D,,A,225,D,20232,1
05100994,5,0,115,D,60,D,0,D,20232,1
05101004,3,0,180,D,,A,0,D,20232,1
05101014,1,0,100,D,,A,0,D,20232,1
05101064,1,0,300,D,500,D,0,D,20232,1
05101114,1,0,0,D,,A,0,D,20232,1
05101124,1,0,120,D,,A,22,D,20232,1
05101154,1,0,325,D,,A,0,D,20232,1
05101214,1,0,1000,D,,A,0,D,20232,1
05101224,1,0,150,D,,A,125,D,20232,1
05101254,5,0,0,D,,A,130,D,20232,1
05101284,2,0,210,D,,A,24,D,20232,1
05101314,1,0,3000,D,,A,3000,D,20232,1
05101334,1,0,0,D,0,D,0,D,20232,1
05101394,1,0,400,D,500,D,0,D,20232,1
05101414,3,0,150,D,,A,50,D,20232,1
05101444,1,0,45,D,,A,0,D,20232,1
05101474,2,0,5,D,,A,0,D,20232,1
05101494,1,0,58,D,,A,25,D,20232,1
05101504,5,0,400,D,,A,0,D,20232,1
05101534,1,0,0,D,,A,0,D,20232,1
05101574,1,0,200,D,,A,0,D,20232,1
05101594,1,0,21,D,,A,0,D,20232,1
05101664,3,0,50,D,,A,0,D,20232,1
05101674,1,0,0,D,,A,0,D,20232,1
05101724,3,0,300,D,550,D,0,D,20232,1
05101804,3,0,400,D,,A,0,D,20232,1
05101824,1,0,80,D,,A,0,D,20232,1
05101834,2,0,300,D,,A,200,D,20232,1
05101844,1,0,0,D,,A,0,D,20232,1
05101894,2,0,200,D,,A,0,D,20232,1
05101904,1,0,0,D,,A,0,D,20232,1
05101954,1,0,0,D,0,D,0,D,20232,1
05102074,1,0,74,D,,A,0,D,20232,1
05102114,1,0,250,D,0,D,0,D,20232,1
05102134,1,0,0,D,,A,0,D,20232,1
05102204,1,0,0,D,,A,0,D,20232,1
05102264,1,0,100,D,,A,0,D,20232,1
05102274,1,0,200,D,,A,0,D,20232,1
05102284,1,0,200,D,,A,100,D,20232,1
05102304,1,0,50,D,,A,0,D,20232,1
05102314,1,0,100,D,,A,0,D,20232,1
05102364,1,0,0,D,,A,0,D,20232,1
05102374,2,0,150,D,,A,0,D,20232,1
05102434,4,0,174,D,,A,0,D,20232,1
05102444,3,0,500,D,,A,0,D,20232,1
05102544,5,0,3100,D,,A,100,D,20232,1
05102564,9,0,800,D,500,D,0,D,20232,1
05102584,4,0,100,D,150,D,250,D,20232,1
05102664,1,0,0,D,200,D,0,D,20232,1
05102694,3,0,200,D,,A,115,D,20232,1
05102724,1,0,0,D,0,D,0,D,20232,1
05102734,2,0,200,D,,A,0,D,20232,1
05102744,1,0,90,D,,A,0,D,20232,1
05102754,1,0,130,D,,A,50,D,20232,1
05102804,3,0,300,D,150,D,0,D,20232,1
05102814,1,0,300,D,160,D,500,D,20232,1
05102894,3,0,450,D,300,D,0,D,20232,1
05102924,1,0,200,D,,A,0,D,20232,1
05103034,1,0,0,D,,A,0,D,20232,1
05103054,1,0,0,D,,A,0,D,20232,1
05103094,1,0,0,D,,A,0,D,20232,1
05103114,1,0,1500,D,0,D,0,D,20232,1
05103134,3,0,100,F,,A,0,D,20232,1
05103144,2,0,350,D,,A,30,D,20232,1
05103224,2,0,0,D,,A,0,D,20232,1
05103294,1,0,300,D,,A,0,D,20232,1
05103354,2,0,0,D,,A,0,D,20232,1
05103374,1,0,0,D,,A,0,D,20232,1
05103384,4,0,400,D,300,D,0,D,20232,1
05103394,2,0,60,D,60,D,0,D,20232,1
05103414,3,0,20,D,,A,0,D,20232,1
05103424,3,0,100,D,0,D,0,D,20232,1
05103484,1,0,0,D,,A,0,D,20232,1
05103554,2,0,400,D,,A,100,D,20232,1
05103564,2,0,450,D,360,D,0,D,20232,1
05103574,2,0,200,D,300,D,0,D,20232,1
05103584,1,0,34,D,,A,0,D,20232,1
05103694,2,0,200,D,300,D,0,D,20232,1
05103764,1,0,0,D,,A,0,D,20232,1
05103784,2,0,100,D,100,D,0,D,20232,1
05103894,2,0,0,D,150,D,0,D,20232,1
05103904,1,0,0,D,,A,0,D,20232,1
05103914,2,0,100,D,,A,0,D,20232,1
05103944,1,0,150,D,,A,0,D,20232,1
05103954,2,0,300,D,,A,0,D,20232,1
05103994,2,0,300,D,,A,0,D,20232,1
05104044,5,0,280,D,190,D,0,D,20232,1
05104104,1,0,176,D,,A,0,D,20232,1
05104134,2,0,200,D,,A,0,D,20232,1
05104144,1,0,0,D,,A,47,D,20232,1
05104204,2,0,1200,D,,A,0,D,20232,1
05104254,2,0,1000,D,500,D,0,D,20232,1
05104264,1,0,200,D,0,D,0,D,20232,1
05104324,2,0,500,D,150,D,0,D,20232,1
05104354,1,0,0,D,,A,0,D,20232,1
05104364,3,0,700,D,,A,0,D,20232,1
05104384,4,0,223,D,,A,0,D,20232,1
05104404,2,0,200,D,100,D,0,D,20232,1
05104434,2,0,200,D,,A,0,D,20232,1
05104484,1,0,0,D,,A,0,D,20232,1
05104524,1,0,0,D,,A,10,D,20232,1
05104534,2,0,350,D,,A,0,D,20232,1
05104554,2,0,500,D,0,D,0,D,20232,1
05104564,1,0,0,D,,A,0,D,20232,1
05104574,4,0,0,D,,A,0,D,20232,1
05104604,1,0,0,D,,A,0,D,20232,1
05104644,2,0,350,D,,A,0,D,20232,1
05104714,1,0,400,D,,A,0,D,20232,1
05104744,1,0,0,D,,A,0,D,20232,1
05104774,4,0,200,D,,A,0,D,20232,1
05104794,1,0,50,D,,A,0,D,20232,1
05104804,3,0,175,D,250,D,0,D,20232,1
05104864,1,0,100,D,708,D,0,D,20232,1
05104874,1,0,300,D,100,F,0,D,20232,1
05104904,1,0,150,D,200,D,0,D,20232,1
05104934,2,0,100,D,300,D,0,D,20232,1
05104964,3,0,320,D,403,D,0,D,20232,1
05104984,1,0,0,D,,A,0,D,20232,1
05104994,2,0,400,D,,A,0,D,20232,1
05105014,1,0,1,D,1,D,0,D,20232,1
05105024,2,0,50,D,100,D,0,D,20232,1
05105084,3,0,440,D,200,D,0,D,20232,1
05105124,2,0,0,D,,A,0,D,20232,1
05105134,1,0,200,D,,A,0,D,20232,1
05105154,3,0,100,D,150,D,0,D,20232,1
05105174,4,0,800,D,,A,126,D,20232,1
05105214,3,0,176,D,101,D,0,D,20232,1
05105244,1,0,200,D,,A,0,D,20232,1
05105284,3,0,150,D,,A,0,D,20232,1
05105344,5,0,400,D,,A,0,D,20232,1
05105374,1,0,0,D,,A,0,D,20232,1
05105414,1,0,0,D,,A,0,D,20232,1
05105424,1,0,100,D,,A,0,D,20232,1
05105524,1,0,0,D,200,D,0,D,20232,1
05105534,6,0,850,D,,A,0,D,20232,1
05105544,1,0,200,D,,A,0,D,20232,1
05105564,3,0,350,D,,A,0,D,20232,1
05105574,1,0,150,D,,A,0,D,20232,1
05105634,3,0,500,D,290,D,0,D,20232,1
05105644,2,0,0,D,,A,0,D,20232,1
05105654,1,0,300,D,700,D,0,D,20232,1
05105694,2,0,210,D,,A,0,D,20232,1
05105734,1,0,0,D,,A,0,D,20232,1
05105744,1,0,70,D,200,D,0,D,20232,1
05105774,1,0,0,D,,A,0,D,20232,1
05105804,8,0,300,D,,A,0,D,20232,1
05105894,1,0,300,D,,A,0,D,20232,1
05105944,5,0,180,D,,A,0,D,20232,1
05106014,1,0,25,D,,A,0,D,20232,1
05106034,2,0,170,D,,A,0,D,20232,1
05106124,2,0,50,D,,A,0,D,20232,1
05106144,6,0,1719,D,,A,200,D,20232,1
05106174,2,0,0,D,,A,0,D,20232,1
05106194,1,0,50,D,,A,0,D,20232,1
05106204,2,0,95,D,,A,0,D,20232,1
05106234,2,0,300,D,,A,0,D,20232,1
05106254,1,0,500,D,,A,150,D,20232,1
05106274,2,0,120,D,,A,0,D,20232,1
05106294,1,0,0,D,,A,0,D,20232,1
05106304,2,0,400,D,,A,0,D,20232,1
05106314,2,0,150,D,,A,30,D,20232,1
05106334,1,0,65,D,,A,0,D,20232,1
05106434,1,0,200,D,200,D,100,D,20232,1
05106464,2,0,0,D,,A,0,D,20232,1
05106534,1,0,127,D,,A,0,D,20232,1
05106554,1,0,0,D,,A,0,D,20232,1
05106564,2,0,600,D,400,D,0,D,20232,1
05106604,2,0,0,D,,A,0,D,20232,1
05106624,2,0,200,D,,A,0,D,20232,1
05106664,1,0,0,D,0,D,0,D,20232,1
05106674,6,0,1534,D,,A,0,D,20232,1
05106714,1,0,0,D,,A,0,D,20232,1
05106734,2,0,1268,D,370,D,30,D,20232,1
05106744,1,0,200,D,,A,0,D,20232,1
05106884,1,0,300,D,300,D,0,D,20232,1
05106934,1,0,600,D,1269,D,0,D,20232,1
05106994,1,0,300,D,,A,200,D,20232,1
05107004,1,0,0,D,,A,0,D,20232,1
05107014,1,0,200,D,,A,50,D,20232,1
05107064,2,0,0,D,50,D,75,D,20232,1
05107094,1,0,0,D,0,D,0,D,20232,1
05107114,2,0,0,D,,A,0,D,20232,1
05107124,1,0,119,D,,A,0,D,20232,1
05107144,2,0,110,D,,A,0,D,20232,1
05107154,1,0,0,D,,A,0,D,20232,1
05107164,2,0,0,D,0,D,0,D,20232,1
05107194,1,0,400,D,,A,275,D,20232,1
05107224,1,0,50,D,,A,0,D,20232,1
05107264,2,0,150,D,,A,0,D,20232,1
05107274,4,0,287,D,,A,0,D,20232,1
05107294,2,0,200,D,,A,0,D,20232,1
05107334,1,0,50,D,,A,0,D,20232,1
05107344,2,0,600,D,,A,0,D,20232,1
05107364,1,0,0,D,,A,0,D,20232,1
05107404,1,0,0,D,,A,0,D,20232,1
05107414,6,0,5000,D,1000,D,1500,D,20232,1
05107424,1,0,800,D,,A,400,D,20232,1
05107454,5,0,313,D,,A,0,D,20232,1
05107464,6,0,1275,D,350,D,250,D,20232,1
05107504,1,0,500,D,0,D,0,D,20232,1
05107574,3,0,500,D,,A,200,D,20232,1
05107634,1,0,0,D,,A,0,D,20232,1
05107644,3,0,0,D,200,D,0,D,20232,1
05107764,1,0,0,D,,A,0,D,20232,1
05107784,1,0,30,D,,A,0,D,20232,1
05107814,4,0,400,D,,A,100,D,20232,1
05107824,1,0,200,D,,A,0,D,20232,1
05107834,1,0,0,D,,A,0,D,20232,1
05107864,1,0,0,D,,A,0,D,20232,1
05107874,1,0,320,F,,A,50,F,20232,1
05107924,5,0,200,D,200,D,860,D,20232,1
05107934,3,0,150,D,,A,0,D,20232,1
05107964,2,0,20,D,,A,0,D,20232,1
05108004,2,0,100,D,,A,0,D,20232,1
05108014,7,0,225,D,,A,50,D,20232,1
05108024,1,0,50,D,,A,0,D,20232,1
05108054,2,0,215,D,,A,0,D,20232,1
05108084,1,0,0,D,,A,0,D,20232,1
05108144,2,0,0,D,,A,0,D,20232,1
05108264,7,0,650,D,,A,0,D,20232,1
05108274,2,0,0,D,0,D,0,D,20232,1
05108294,7,0,18,D,,A,54,D,20232,1
05108314,1,0,50,D,,A,0,D,20232,1
05108334,2,0,58,D,,A,110,D,20232,1
05108374,2,0,229,D,,A,0,D,20232,1
05108384,1,0,200,D,,A,0,D,20232,1
05108484,1,0,100,D,,A,0,D,20232,1
05108524,1,0,150,D,,A,0,D,20232,1
05108544,1,0,0,D,0,D,0,D,20232,1
05108574,1,0,0,D,150,D,0,D,20232,1
05108584,1,0,300,D,1000,D,0,D,20232,1
05108594,1,0,0,D,,A,0,D,20232,1
05108664,3,0,400,D,,A,0,D,20232,1
05108674,4,0,300,D,300,D,0,D,20232,1
05108704,1,0,157,D,,A,30,D,20232,1
05108734,1,0,150,D,,A,0,D,20232,1
05108764,1,0,150,D,200,D,0,D,20232,1
05108784,1,0,20,D,,A,10,D,20232,1
05108794,3,0,300,D,500,D,0,D,20232,1
05108834,1,0,0,D,,A,0,D,20232,1
05108894,2,0,0,D,,A,0,D,20232,1
05108974,1,0,0,D,0,D,0,D,20232,1
05108994,1,0,0,D,,A,0,D,20232,1
05109014,1,0,300,D,,A,0,D,20232,1
05109034,1,0,0,D,,A,0,D,20232,1
05109064,3,0,500,D,700,D,0,D,20232,1
05109074,1,0,200,D,,A,0,D,20232,1
05109094,4,0,350,D,,A,0,D,20232,1
05109104,2,0,0,D,,A,0,D,20232,1
05109114,5,0,1500,D,,A,0,D,20232,1
