QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VTRCODE,VTRCODE_,VTRMO,VTRMO_,VTREXPX,VTREXPX_,VTRLIMO,VTRLIMO_,VTRPURCH
20232,05100234,55,0,1,100,D,02,D,25,D,,A,
20232,05100234,56,0,1,100,D,03,D,40,D,,A,
20232,05100354,19,0,1,100,D,13,D,433,D,,A,
20232,05100494,39,0,1,100,D,13,D,60,D,,A,
20232,05100814,30,0,1,100,D,01,D,350,D,,A,
20232,05101214,39,0,1,100,D,03,D,150,D,,A,
20232,05101824,24,0,1,100,D,03,D,15,D,2,D,1
20232,05101894,47,0,1,100,D,01,D,100,D,,A,
20232,05101894,48,0,1,100,D,02,D,100,D,,A,
20232,05101894,49,0,1,100,D,03,D,100,D,,A,
20232,05102274,19,0,1,100,D,13,D,21,D,,A,
20232,05102564,86,0,1,100,D,03,D,25,D,2,D,1
20232,05102584,73,0,1,100,D,13,D,100,D,,A,
20232,05103144,53,0,1,100,D,03,D,35,D,,A,
20232,05103144,54,0,1,100,D,04,D,35,D,,A,
20232,05103144,55,0,1,100,D,05,D,35,D,,A,
20232,05103384,46,0,1,110,D,13,D,15,D,,A,
20232,05103694,46,0,1,100,D,04,D,60,D,,A,
20232,05104204,49,0,1,100,D,13,D,37,D,2,D,1
20232,05104254,17,0,1,100,D,05,D,150,D,,A,
20232,05104604,12,0,1,100,D,04,D,200,D,,A,
20232,05104864,72,0,1,100,D,05,D,220,D,1,D,
20232,05104984,32,0,1,100,D,05,D,30,D,,A,
20232,05104994,57,0,1,100,D,04,D,20,D,1,D,
20232,05105214,62,0,1,100,D,04,D,10,D,,A,
20232,05105284,35,0,1,100,D,03,D,150,D,,A,
20232,05105344,42,0,1,100,D,13,D,100,D,,A,
20232,05105634,55,0,1,100,D,05,D,55,D,,A,
20232,05105804,57,0,1,100,D,05,D,21,D,,A,
20232,05105804,58,0,1,100,D,05,D,15,D,,A,
20232,05106144,54,0,1,100,D,05,D,22,D,,A,
20232,05106254,41,0,1,100,D,04,D,40,D,,A,
20232,05106624,62,0,1,100,D,03,D,250,D,,A,
20232,05107294,39,0,1,100,D,05,D,15,D,,A,
20232,05107464,51,0,1,100,D,03,D,48,D,,A,
20232,05107464,52,0,1,100,D,05,D,112,D,,A,
20232,05107644,37,0,1,100,D,13,D,75,D,,A,
20232,05108014,88,0,1,100,D,03,D,54,D,,A,
20232,05108014,89,0,1,100,D,04,D,28,D,,A,
20232,05108524,19,0,1,100,D,05,D,500,D,,A,
20232,05108574,22,0,1,100,D,05,D,300,D,,A,
20232,05108704,23,0,1,100,D,13,D,775,D,,A,
20232,05109094,37,0,1,100,D,03,D,20,D,,A,
20232,05109634,75,0,1,100,D,13,D,55,D,,A,
20232,05109694,18,0,1,100,D,13,D,55,D,,A,
20232,05110674,48,0,1,100,D,13,D,50,D,,A,
20232,05110754,53,0,1,100,D,13,D,110,D,2,D,1
20232,05111054,43,0,1,100,D,04,D,50,D,,A,
20232,05111124,21,0,1,100,D,13,D,75,D,,A,
20232,05111604,52,0,1,100,D,13,D,30,D,,A,
20232,05111634,24,0,1,100,D,05,D,45,D,,A,
20232,05112164,50,0,1,110,D,04,D,8,D,,A,
20232,05112464,31,0,1,100,D,05,D,14,D,,A,
20232,05112724,26,0,1,100,D,05,D,15,D,,A,
20232,05112834,22,0,1,100,D,04,D,1100,D,,A,
20232,05113134,19,0,1,100,D,04,D,22,D,,A,
20232,05113294,9,0,1,100,D,13,D,28,D,,A,
20232,05113614,32,0,1,100,D,13,D,60,D,,A,
20232,05114254,62,0,1,100,D,03,D,35,D,,A,
20232,05114254,63,0,1,100,D,04,D,70,D,,A,
20232,05114354,20,0,1,100,D,03,D,300,F,,A,
20232,05114604,41,0,1,110,D,04,D,21,D,,A,
20232,05115044,16,0,1,100,D,13,D,75,D,,A,
20232,05115704,57,0,1,100,D,04,D,20,D,,A,
20232,05115794,43,0,1,100,D,02,D,200,D,,A,
20232,05115864,30,0,1,100,D,13,D,75,D,,A,
20232,05115914,23,0,1,100,D,13,D,220,D,,A,
20232,05116294,55,0,1,100,D,13,D,80,D,,A,
20232,05116894,22,0,1,100,D,02,D,200,F,,A,
20232,05117924,47,0,1,100,D,13,D,150,D,,A,
20232,05118034,37,0,1,100,D,13,D,50,D,,A,
20232,05118164,61,0,1,100,D,03,D,50,D,,A,
20232,05118214,13,0,1,100,D,13,D,6,D,,A,
20232,05118394,70,0,1,100,D,02,D,76,D,,A,
20232,05118394,71,0,1,100,D,03,D,208,D,,A,
20232,05118504,24,0,1,100,D,04,D,57,D,,A,
20232,05118884,46,0,1,100,D,03,D,55,D,2,D,1
20232,05119114,22,0,1,100,D,04,D,25,D,,A,
20232,05119114,23,0,1,100,D,03,D,5,D,,A,
20232,05119214,20,0,1,100,D,13,D,35,D,,A,
20232,05119434,64,0,1,100,D,04,D,20,D,,A,
20232,05119634,53,0,1,100,D,03,D,22,D,,A,
20232,05120044,56,0,1,100,D,04,D,23,D,,A,
20232,05120214,70,0,1,100,D,04,D,40,D,,A,
20232,05120214,71,0,1,100,D,04,D,40,D,,A,
20232,05120644,44,0,1,100,D,03,D,120,D,,A,
20232,05121024,98,0,1,100,D,13,D,250,D,,A,
20232,05121144,45,0,1,100,D,02,D,150,D,,A,
20232,05121184,11,0,1,100,D,13,D,100,D,1,D,
20232,05121274,56,0,1,100,D,02,D,25,D,,A,
20232,05121274,57,0,1,100,D,04,D,40,D,,A,
20232,05121384,25,0,1,100,D,13,D,240,D,,A,
20232,05121554,36,0,1,100,D,03,D,60,D,,A,
20232,05121664,32,0,1,100,D,04,D,85,D,,A,
20232,05121724,25,0,1,100,D,13,D,150,D,,A,
20232,05121804,30,0,1,100,D,13,D,25,D,,A,
20232,05121904,29,0,1,100,D,04,D,20,D,,A,
20232,05121994,32,0,1,100,D,13,D,50,D,2,D,1
20232,05122174,23,0,1,100,D,13,D,35,D,,A,
20232,05122194,50,0,1,100,D,13,D,250,D,,A,
20232,05122674,51,0,1,100,D,02,D,100,D,,A,
20232,05122674,52,0,1,100,D,04,D,150,D,,A,
20232,05122744,35,0,1,100,D,03,D,60,D,,A,
20232,05122844,21,0,1,100,D,02,D,97,D,,A,
20232,05122844,22,0,1,100,D,04,D,13,D,,A,
20232,05123164,70,0,1,100,D,13,D,50,D,2,D,1
20232,05123184,68,0,1,100,D,13,D,30,D,,A,
20232,05123194,35,0,1,100,D,03,D,121,D,,A,
20232,05123294,82,0,1,100,D,03,D,30,D,,A,
20232,05124404,47,0,1,100,D,02,D,60,D,,A,
20232,05124454,38,0,1,100,D,04,D,300,D,,A,
20232,05124764,32,0,1,100,D,13,D,15,D,,A,
20232,05125214,43,0,1,100,D,04,D,35,D,,A,
20232,05125284,39,0,1,100,D,02,D,20,D,,A,
20232,05201483,25,0,1,100,D,03,D,50,D,,A,
20232,05201883,40,0,1,100,D,13,D,26,D,,A,
20232,05201953,26,0,1,100,D,13,D,100,D,,A,
20232,05202443,41,0,1,100,D,02,D,100,D,,A,
20232,05202613,55,0,1,100,D,03,D,20,D,,A,
20232,05202903,37,0,1,110,D,01,D,10,D,,A,
20232,05203053,59,0,1,100,D,13,D,27,D,,A,
20232,05203343,32,0,1,100,D,13,D,50,D,2,D,1
20232,05203583,39,0,1,100,D,01,D,60,D,,A,
20232,05203973,41,0,1,100,D,01,D,45,D,2,D,1
20232,05204193,10,0,1,100,D,13,D,10,D,,A,
20232,05204983,36,0,1,100,D,01,D,120,D,,A,
20232,05205183,37,0,1,100,D,01,D,50,D,,A,
20232,05205183,38,0,1,100,D,02,D,80,D,,A,
20232,05205183,39,0,1,100,D,03,D,85,D,,A,
20232,05205343,53,0,1,100,D,03,D,15,D,,A,
20232,05205503,11,0,1,100,D,13,D,50,D,,A,
20232,05205603,52,0,1,100,D,03,D,50,D,,A,
20232,05205963,59,0,1,100,D,02,D,20,D,,A,
20232,05206443,36,0,1,100,D,13,D,195,D,,A,
20232,05206523,28,0,1,100,D,01,D,395,D,,A,
20232,05206913,22,0,1,100,D,02,D,15,D,,A,
20232,05207043,17,0,1,100,D,13,D,25,D,,A,
20232,05207063,26,0,1,100,D,01,D,10,D,,A,
20232,05207333,23,0,1,100,D,13,D,100,D,,A,
20232,05207673,46,0,1,100,D,03,D,200,D,,A,
20232,05208093,35,0,1,100,D,13,D,40,D,,A,
20232,05208663,13,0,1,100,D,13,D,50,D,,A,
20232,05208673,18,0,1,100,D,13,D,10,D,,A,
20232,05208703,58,0,1,100,D,02,D,174,D,,A,
20232,05209123,60,0,1,100,D,13,D,400,D,,A,
20232,05209273,55,0,1,100,D,03,D,25,D,,A,
20232,05209313,40,0,1,100,D,02,D,38,D,,A,
20232,05209733,14,0,1,100,D,01,D,200,D,,A,
20232,05209733,15,0,1,100,D,02,D,200,D,,A,
20232,05210143,43,0,1,100,D,01,D,600,D,,A,
20232,05210143,44,0,1,100,D,13,D,50,D,,A,
20232,05210813,16,0,1,100,D,13,D,200,D,,A,
20232,05211163,50,0,1,100,D,01,D,100,D,2,D,1
20232,05211213,19,0,1,100,D,13,D,100,D,,A,
20232,05211533,15,0,1,100,D,13,D,150,D,,A,
20232,05211643,36,0,1,100,D,13,D,125,D,,A,
20232,05212023,53,0,1,100,D,03,D,45,D,,A,
20232,05212533,53,0,1,100,D,03,D,70,D,,A,
20232,05212663,51,0,1,100,D,03,D,40,D,,A,
20232,05213703,55,0,1,100,D,04,D,200,D,,A,
20232,05214353,35,0,1,100,D,03,D,400,D,,A,
20232,05214393,44,0,1,100,D,04,D,150,D,,A,
20232,05214543,66,0,1,100,D,03,D,300,D,,A,
20232,05214543,67,0,1,100,D,04,D,200,D,,A,
20232,05214913,23,0,1,100,D,13,D,50,D,,A,
20232,05215223,41,0,1,100,D,02,D,100,D,,A,
20232,05215363,24,0,1,100,D,03,D,25,D,,A,
20232,05215363,25,0,1,100,D,04,D,25,D,,A,
20232,05216013,50,0,1,100,D,04,D,37,D,,A,
20232,05216013,51,0,1,110,D,02,D,50,D,,A,1
20232,05216083,51,0,1,100,D,13,D,125,D,,A,
20232,05216273,20,0,1,100,D,13,D,50,D,,A,
20232,05216473,49,0,1,100,D,03,D,28,D,,A,
20232,05216483,45,0,1,100,D,13,D,20,D,,A,
20232,05216613,55,0,1,100,D,03,D,69,D,1,D,
20232,05216613,56,0,1,100,D,03,D,112,D,1,D,
20232,05216713,36,0,1,100,D,13,D,54,D,,A,
20232,05216773,56,0,1,100,D,02,D,40,D,2,D,1
20232,05216993,56,0,1,100,D,13,D,100,D,,A,
20232,05217613,18,0,1,100,D,13,D,50,D,2,D,1
20232,05217713,40,0,1,100,D,13,D,100,D,,A,
20232,05217913,17,0,1,100,D,13,D,50,D,,A,
20232,05218283,21,0,1,100,D,13,D,100,D,,A,
20232,05218283,22,0,1,100,D,13,D,30,D,,A,
20232,05218333,25,0,1,100,D,04,D,35,D,,A,
20232,05218893,21,0,1,100,D,03,D,40,D,,A,
20232,05218893,22,0,1,100,D,02,D,200,D,,A,
20232,05218983,58,0,1,100,D,04,D,90,D,,A,
20232,05218993,42,0,1,100,D,13,D,100,D,,A,
20232,05219023,73,0,1,100,D,02,D,150,D,,A,
20232,05219563,35,0,1,100,D,13,D,75,D,,A,
20232,05219633,34,0,1,100,D,04,D,100,D,,A,
20232,05220743,27,0,1,100,D,02,D,25,D,,A,
20232,05221473,50,0,1,100,D,02,D,75,D,,A,
20232,05221523,33,0,1,100,D,04,D,100,D,,A,
20232,05221523,34,0,1,100,D,03,D,100,D,,A,
20232,05221613,44,0,1,100,D,04,D,48,D,,A,
20232,05221933,56,0,1,100,D,03,D,80,D,1,D,
20232,05221973,47,0,1,100,D,13,D,40,D,,A,
20232,05222163,28,0,1,100,D,02,D,300,D,,A,
20232,05222163,29,0,1,100,D,03,D,30,D,,A,
20232,05222163,30,0,1,100,D,04,D,30,D,,A,
20232,05222583,26,0,1,100,D,13,D,50,D,,A,
20232,05222753,14,0,1,100,D,13,D,200,D,2,D,1
20232,05223093,43,0,1,100,D,04,D,25,D,,A,
20232,05223303,41,0,1,100,D,04,D,30,D,,A,
20232,05223463,11,0,1,100,D,13,D,115,D,,A,
20232,05223623,12,0,1,100,D,02,D,10,D,,A,
20232,05223623,13,0,1,100,D,03,D,15,D,,A,
20232,05223623,14,0,1,100,D,04,D,15,D,,A,
20232,05224133,40,0,1,100,D,04,D,100,D,1,D,
20232,05224163,11,0,1,100,D,02,D,50,D,,A,
20232,05224163,12,0,1,100,D,03,D,50,D,,A,
20232,05224163,13,0,1,100,D,13,D,12,D,,A,
20232,05224203,12,0,1,100,D,13,D,75,D,,A,
20232,05224283,21,0,1,100,D,13,D,50,D,,A,
20232,05224573,15,0,1,100,D,13,D,75,D,,A,
20232,05224743,35,0,1,100,D,03,D,57,D,,A,
20232,05224743,36,0,1,100,D,04,D,38,D,,A,
20232,05224783,23,0,1,100,D,13,D,175,D,,A,
20232,05225063,73,0,1,100,D,13,D,20,D,,A,
20232,05225203,55,0,1,100,D,04,D,70,D,,A,
20232,05225753,54,0,1,100,D,13,D,400,D,,A,
20232,05225803,48,0,1,110,D,13,D,10,D,,A,
20232,05225823,24,0,1,100,D,05,D,80,D,,A,
20232,05226423,126,0,1,100,D,03,D,128,D,1,D,
20232,05226523,57,0,1,100,D,04,D,80,D,,A,
20232,05226523,58,0,1,100,D,05,D,80,D,,A,
20232,05226693,63,0,1,100,D,05,D,150,D,2,D,1
20232,05226763,23,0,1,100,D,13,D,30,D,,A,
20232,05227263,60,0,1,100,D,13,D,400,D,,A,
20232,05227323,63,0,1,100,D,03,D,75,F,,A,
20232,05227453,19,0,1,100,D,13,D,3,D,,A,
20232,05227623,22,0,1,100,D,03,D,20,D,,A,
20232,05227623,23,0,1,100,D,04,D,20,D,,A,
20232,05227623,24,0,1,100,D,05,D,20,D,,A,
20232,05227673,46,0,1,100,D,04,D,80,D,2,D,2
20232,05227773,26,0,1,100,D,03,D,250,D,,A,
20232,05227773,27,0,1,110,D,04,D,30,D,,A,
20232,05227953,43,0,1,100,D,05,D,56,D,,A,
20232,05228153,18,0,1,100,D,13,D,300,D,,A,
20232,05228213,123,0,1,100,D,03,D,150,D,,A,
20232,05228213,124,0,1,100,D,04,D,40,D,,A,
20232,05228213,125,0,1,100,D,05,D,40,D,,A,
20232,05228233,22,0,1,100,D,13,D,100,D,,A,
20232,05228663,34,0,1,100,D,13,D,200,D,,A,
20232,05228913,28,0,1,100,D,03,D,40,D,,A,
20232,05229263,35,0,1,100,D,05,D,70,D,,A,
20232,05230223,54,0,1,100,D,05,D,49,D,2,D,2
20232,05230343,31,0,1,100,D,05,D,200,D,2,D,1
20232,05231153,29,0,1,100,D,05,D,20,D,,A,
20232,05231393,37,0,1,100,D,05,D,25,D,,A,
20232,05231693,39,0,1,100,D,04,D,30,D,2,D,1
20232,05232263,30,0,1,100,D,13,D,250,D,1,D,
20232,05232793,60,0,1,100,D,05,D,391,D,,A,
20232,05233443,33,0,1,100,D,05,D,21,D,,A,
20232,05233443,34,0,1,100,D,04,D,13,D,,A,
20232,05234273,96,0,1,100,D,13,D,50,D,,A,
20232,05234493,34,0,1,100,D,13,D,40,D,,A,
20232,05234503,49,0,1,100,D,03,D,133,D,,A,
20232,05234583,28,0,1,100,D,05,D,10,D,,A,
20232,05234903,78,0,1,100,D,13,D,100,D,,A,
20232,05235013,26,0,1,100,D,03,D,50,D,,A,
20232,05235013,27,0,1,100,D,04,D,100,D,,A,
20232,05235013,28,0,1,100,D,05,D,50,D,,A,
20232,05235263,33,0,1,100,D,05,D,30,D,,A,
20232,05235313,19,0,1,100,D,13,D,30,D,,A,
20232,05235454,37,0,1,100,D,05,D,40,D,,A,
20232,05235723,36,0,1,100,D,05,D,300,D,,A,
20232,05235843,19,0,1,100,D,13,D,100,D,,A,
20232,05235913,35,0,1,100,D,04,D,106,D,2,D,1
20232,05236333,18,0,1,100,D,05,D,10,D,,A,
20232,05236333,19,0,1,100,D,05,D,49,F,,A,
20232,05236493,43,0,1,100,D,05,D,180,D,,A,
20232,05236713,25,0,1,100,D,05,D,15,D,,A,
20232,05251782,34,0,1,100,D,03,D,100,D,,A,
20232,05251982,70,0,1,100,D,13,D,30,D,,A,
20232,05252332,26,0,1,100,D,02,D,100,D,,A,
20232,05252392,69,0,1,100,D,13,D,100,D,,A,
20232,05252532,27,0,1,100,D,13,D,80,D,,A,
20232,05252543,57,0,1,100,D,13,D,75,D,1,D,
20232,05252622,31,0,1,100,D,03,D,7,D,,A,
20232,05252713,46,0,1,100,D,13,D,70,D,,A,
20232,05252772,21,0,1,100,D,13,D,10,D,2,D,1
20232,05253182,40,0,1,100,D,03,D,30,D,,A,
20232,05253512,15,0,1,100,D,02,D,32,D,,A,
20232,05253682,62,0,1,100,D,01,D,300,D,,A,
20232,05254052,44,0,1,100,D,13,D,240,D,2,D,1
20232,05254082,31,0,1,100,D,02,D,60,D,,A,
20232,05254292,62,0,1,100,D,03,D,80,D,,A,
20232,05254472,29,0,1,100,D,13,D,10,D,,A,
20232,05254802,21,0,1,100,D,02,D,95,D,,A,
20232,05255392,23,0,1,100,D,13,D,300,D,,A,
20232,05255462,28,0,1,100,D,02,D,25,D,,A,
20232,05255552,61,0,1,100,D,02,D,70,D,,A,
20232,05255552,62,0,1,100,D,03,D,20,D,,A,
20232,05255602,34,0,1,100,D,02,D,35,D,,A,
20232,05256072,31,0,1,100,D,03,D,17,D,1,D,
20232,05256282,22,0,1,100,D,13,D,20,D,,A,
20232,05256612,23,0,1,100,D,13,D,75,D,,A,
20232,05256642,47,0,1,100,D,02,D,50,D,,A,
20232,05257622,59,0,1,100,D,02,D,20,D,,A,
20232,05258172,32,0,1,100,D,13,D,50,D,,A,
20232,05258232,24,0,1,100,D,13,D,100,D,,A,
20232,05258392,31,0,1,100,D,13,D,25,D,,A,
20232,05258662,55,0,1,100,D,02,D,60,D,,A,
20232,05258722,10,0,1,100,D,13,D,40,D,,A,
20232,05259012,79,0,1,100,D,02,D,75,D,,A,
20232,05259012,80,0,1,100,D,03,D,12,D,,A,
20232,05259112,43,0,1,100,D,02,D,40,D,,A,
20232,05259382,32,0,1,100,D,03,D,30,D,,A,
20232,05259562,26,0,1,100,D,13,D,45,D,,A,
20232,05259562,27,0,1,110,D,02,D,6,D,,A,1
20232,05259772,47,0,1,100,D,01,D,45,D,1,D,
20232,05259772,48,0,1,100,D,02,D,75,D,1,D,
20232,05260172,45,0,1,100,D,13,D,30,D,,A,
20232,05260242,21,0,1,100,D,13,D,30,D,,A,
20232,05260622,19,0,1,100,D,01,D,100,F,,A,
20232,05260632,12,0,1,100,D,13,D,50,D,,A,
20232,05260792,52,0,1,100,D,13,D,20,D,,A,
20232,05261312,59,0,1,100,D,02,D,200,D,,A,
20232,05262042,18,0,1,100,D,03,D,36,D,,A,
20232,05262212,29,0,1,100,D,01,D,30,D,,A,
20232,05263052,49,0,1,100,D,13,D,62,D,1,D,
20232,05263342,26,0,1,100,D,02,D,60,D,,A,
20232,05263392,43,0,1,100,D,04,D,60,D,,A,
20232,05263422,55,0,1,100,D,13,D,5,D,,A,
20232,05263422,56,0,1,100,D,02,D,72,D,,A,
20232,05263932,49,0,1,100,D,04,D,35,D,,A,
20232,05264042,15,0,1,100,D,04,D,143,D,,A,
20232,05265872,15,0,1,100,D,13,D,80,D,,A,
20232,05266762,47,0,1,100,D,03,D,50,D,,A,
20232,05266762,48,0,1,100,D,13,D,30,D,,A,
20232,05266772,28,0,1,100,D,04,D,500,D,,A,
20232,05266862,12,0,1,100,D,13,D,61,D,,A,
20232,05267182,37,0,1,100,D,13,D,75,D,,A,
20232,05267722,29,0,1,100,D,13,D,40,D,,A,
20232,05267752,43,0,1,100,D,03,D,79,D,,A,
20232,05267822,32,0,1,100,D,13,D,90,D,,A,
20232,05267842,25,0,1,100,D,13,D,35,D,,A,
20232,05267862,48,0,1,100,D,04,D,125,D,,A,
20232,05268482,17,0,1,100,D,13,D,200,D,,A,
20232,05268722,27,0,1,100,D,13,D,75,D,,A,
20232,05269372,60,0,1,100,D,13,D,12,D,,A,
20232,05270162,11,0,1,100,D,02,D,200,D,,A,
20232,05270172,40,0,1,100,D,13,D,60,D,,A,
20232,05270392,74,0,1,100,D,03,D,50,D,,A,
20232,05270392,75,0,1,100,D,04,D,80,D,,A,
20232,05271052,61,0,1,100,D,02,D,17,D,,A,
20232,05271052,62,0,1,100,D,03,D,46,D,,A,
20232,05271062,45,0,1,100,D,13,D,50,D,,A,
20232,05271182,14,0,1,100,D,13,D,40,D,,A,
20232,05271642,37,0,1,100,D,02,D,60,D,,A,
20232,05271642,38,0,1,100,D,02,D,40,D,,A,
20232,05271912,37,0,1,100,D,03,D,75,D,,A,
20232,05272252,49,0,1,100,D,13,D,67,D,,A,
20232,05272592,52,0,1,100,D,04,D,20,D,,A,
20232,05272642,21,0,1,100,D,13,D,20,D,,A,
20232,05272962,43,0,1,100,D,03,D,40,D,,A,
20232,05273132,34,0,1,100,D,13,D,15,D,2,D,1
20232,05273222,30,0,1,100,D,02,D,50,D,,A,
20232,05273222,31,0,1,100,D,03,D,50,D,,A,
20232,05273222,32,0,1,100,D,04,D,50,D,,A,
20232,05274002,23,0,1,100,D,13,D,333,D,2,D,1
20232,05274102,23,0,1,110,D,02,D,5,D,,A,
20232,05274192,48,0,1,100,D,03,D,75,D,,A,
20232,05274192,49,0,1,100,D,04,D,75,D,,A,
20232,05274192,50,0,1,100,D,02,D,200,D,,A,
20232,05274212,41,0,1,100,D,04,D,50,D,,A,
20232,05274462,37,0,1,100,D,04,D,60,F,,A,
20232,05274492,29,0,1,100,D,03,D,200,D,,A,
20232,05274542,49,0,1,110,D,04,D,5,D,,A,
20232,05274722,43,0,1,100,D,03,D,79,D,2,D,2
20232,05274912,44,0,1,100,D,13,D,18,D,,A,
20232,05275372,35,0,1,100,D,05,D,31,D,,A,
20232,05275632,15,0,1,100,D,03,D,535,D,,A,
20232,05275722,20,0,1,110,D,03,D,80,D,,A,
20232,05275852,12,0,1,100,D,13,D,50,D,,A,
20232,05276042,42,0,1,100,D,05,D,150,D,2,D,1
20232,05276112,32,0,1,100,D,13,D,100,D,,A,
20232,05276112,33,0,1,110,D,04,D,20,D,,A,1
20232,05276142,29,0,1,100,D,13,D,68,D,,A,
20232,05276202,22,0,1,100,D,03,D,50,D,,A,
20232,05276202,23,0,1,100,D,04,D,50,D,,A,
20232,05276202,24,0,1,100,D,05,D,30,D,,A,
20232,05276522,32,0,1,100,D,13,D,20,D,,A,
20232,05276682,39,0,1,100,D,03,D,80,D,,A,
20232,05276682,40,0,1,100,D,04,D,55,D,,A,
20232,05276682,41,0,1,100,D,05,D,85,D,,A,
20232,05276972,47,0,1,100,D,13,D,15,D,,A,
20232,05277262,32,0,1,100,D,03,D,140,D,,A,
20232,05277662,25,0,1,100,D,04,D,50,D,2,D,3
20232,05278342,84,0,1,100,D,13,D,150,D,,A,
20232,05278462,57,0,1,100,D,05,D,100,D,2,D,1
20232,05278462,58,0,1,110,D,13,D,10,D,,A,
20232,05278632,45,0,1,100,D,04,D,45,D,,A,
20232,05278772,9,0,1,100,D,13,D,100,D,,A,
20232,05278902,79,0,1,100,D,04,D,49,D,,A,
20232,05279342,81,0,1,100,D,05,D,100,D,,A,
20232,05279342,82,0,1,110,D,04,D,100,D,,A,
20232,05279352,68,0,1,100,D,04,D,100,D,,A,
20232,05279622,22,0,1,100,D,04,D,109,D,,A,
20232,05279692,36,0,1,100,D,13,D,80,D,,A,
20232,05280392,76,0,1,100,D,04,D,45,D,1,D,
20232,05280622,42,0,1,100,D,05,D,50,D,,A,
20232,05280652,25,0,1,100,D,03,D,15,D,,A,
20232,05280712,79,0,1,100,D,05,D,30,D,,A,
20232,05280912,28,0,1,110,D,13,D,15,D,,A,
20232,05280942,42,0,1,100,D,04,D,300,D,,A,
20232,05280982,29,0,1,100,D,05,D,20,D,,A,
20232,05281032,64,0,1,100,D,13,D,50,D,,A,
20232,05281652,42,0,1,100,D,04,D,20,D,,A,
20232,05282172,40,0,1,100,D,13,D,100,D,,A,
20232,05282272,22,0,1,100,D,13,D,200,D,,A,
20232,05282292,13,0,1,100,D,13,D,21,D,,A,
20232,05282392,16,0,1,100,D,13,D,100,D,,A,
20232,05282532,30,0,1,100,D,05,D,40,D,,A,
20232,05283022,17,0,1,100,D,13,D,80,D,,A,
20232,05283282,55,0,1,100,D,05,D,50,D,,A,
20232,05283282,56,0,1,100,D,03,D,59,D,,A,
20232,05283382,33,0,1,100,D,13,D,46,D,,A,
20232,05284092,33,0,1,100,D,05,D,84,D,,A,
