QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,OTHLNDRX,OTHL_DRX,OTHDCLNX,OTHD_LNX,SAFDPSTX,SAFD_STX,JLDRYNET,JLDR_NET,JDRYCNET,JDRY_NET,JBNKSCQV,JBNK_CQV,SALONX,SALONX_,WIGSX,WIGSX_,JMLPAYQV,JMLP_YQV
20232,05092324,26,0,1,,A,,A,,A,,A,,A,,A,250,D,,A,,A
20232,05092394,23,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092404,72,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A
20232,05092424,44,0,1,,A,,A,,A,,A,,A,,A,240,D,,A,,A
20232,05092454,27,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092504,18,0,1,,A,,A,,A,,A,,A,,A,35,D,,A,,A
20232,05092614,27,0,1,,A,,A,,A,,A,,A,,A,70,D,,A,,A
20232,05092704,11,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092734,24,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092754,32,0,1,,A,,A,,A,,A,,A,,A,426,D,,A,,A
20232,05092764,34,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092784,40,0,1,,A,,A,,A,,A,60,D,,A,145,D,,A,,A
20232,05092804,38,0,1,,A,,A,,A,,A,20,D,,A,900,D,,A,,A
20232,05092904,15,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092944,14,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092964,101,0,1,,A,,A,,A,,A,,A,,A,403,D,,A,,A
20232,05093004,48,0,1,,A,,A,,A,,A,,A,,A,20,D,,A,,A
20232,05093064,27,0,1,,A,,A,,A,,A,,A,,A,500,D,,A,,A
20232,05093114,30,0,1,,A,,A,,A,,A,300,D,,A,300,D,,A,,A
20232,05093204,83,0,1,,A,,A,,A,,A,,A,,A,60,D,,A,,A
20232,05093224,29,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093244,31,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A
20232,05093284,30,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093344,15,0,1,,A,,A,,A,,A,,A,,A,25,D,,A,,A
20232,05093354,32,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093364,52,0,1,,A,,A,,A,,A,,A,,A,105,D,,A,,A
20232,05093374,17,0,1,,A,,A,,A,3,D,,A,,A,,A,,A,,A
20232,05093414,42,0,1,,A,,A,,A,,A,,A,,A,900,D,,A,,A
20232,05093494,29,0,1,,A,,A,,A,,A,,A,102,D,400,D,,A,,A
20232,05093534,46,0,1,,A,,A,,A,,A,,A,,A,300,D,,A,,A
20232,05093664,37,0,1,,A,,A,,A,,A,,A,,A,165,D,,A,,A
20232,05093674,45,0,1,32,D,,A,,A,96,D,,A,,A,130,D,,A,,A
20232,05093694,32,0,1,,A,,A,,A,,A,40,D,,A,200,D,,A,,A
20232,05093704,21,0,1,,A,,A,,A,,A,,A,,A,340,D,,A,,A
20232,05093714,23,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093784,11,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093794,26,0,1,,A,,A,,A,,A,,A,,A,40,D,,A,,A
20232,05093804,36,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093824,15,0,1,,A,,A,,A,,A,,A,,A,30,D,,A,,A
20232,05093834,42,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093884,90,0,1,,A,,A,,A,,A,90,D,,A,720,D,,A,,A
20232,05093894,9,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093904,54,0,1,,A,,A,,A,,A,,A,150,D,270,D,,A,,A
20232,05093944,28,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093964,46,0,1,,A,,A,,A,,A,,A,,A,600,D,,A,,A
20232,05094044,46,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094064,47,0,1,,A,,A,,A,,A,,A,,A,21,D,,A,,A
20232,05094104,74,0,1,,A,,A,,A,,A,70,D,,A,162,D,,A,,A
20232,05094134,46,0,1,,A,,A,,A,,A,,A,,A,20,D,,A,,A
20232,05094144,42,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094164,60,0,1,,A,,A,,A,,A,,A,,A,25,D,,A,,A
20232,05094184,24,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094224,27,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094234,34,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094264,34,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094314,51,0,1,,A,,A,,A,,A,,A,,A,100,D,,A,,A
20232,05094364,18,0,1,,A,,A,,A,180,D,,A,,A,,A,,A,,A
20232,05094374,35,0,1,,A,,A,,A,,A,,A,,A,30,D,,A,,A
20232,05094404,28,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094414,45,0,1,,A,,A,,A,,A,,A,,A,20,D,,A,,A
20232,05094494,45,0,1,,A,,A,,A,,A,,A,,A,60,D,,A,,A
20232,05094504,36,0,1,,A,,A,,A,,A,,A,150,D,340,D,,A,,A
20232,05094514,18,0,1,,A,,A,,A,300,D,,A,,A,100,D,,A,,A
20232,05094544,34,0,1,,A,,A,,A,,A,,A,,A,100,D,,A,,A
20232,05094554,25,0,1,,A,,A,,A,,A,,A,,A,15,D,,A,,A
20232,05094674,42,0,1,,A,,A,,A,,A,,A,,A,250,D,,A,,A
20232,05094684,16,0,1,30,D,,A,,A,90,D,,A,,A,,A,,A,,A
20232,05094734,44,0,1,,A,,A,,A,,A,150,D,150,D,450,D,,A,,A
20232,05094754,12,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094824,42,0,1,,A,,A,,A,,A,,A,,A,60,D,,A,,A
20232,05094874,56,0,1,,A,,A,35,D,,A,,A,,A,25,D,,A,,A
20232,05094904,61,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094914,33,0,1,,A,,A,,A,,A,,A,,A,75,D,,A,,A
20232,05094934,49,0,1,,A,,A,,A,,A,,A,,A,100,D,,A,,A
20232,05095014,32,0,1,,A,,A,,A,,A,,A,,A,225,D,,A,,A
20232,05095034,16,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05095054,41,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05095084,24,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05095144,37,0,1,,A,,A,,A,,A,,A,,A,75,D,,A,,A
20232,05095154,52,0,1,,A,,A,,A,,A,,A,,A,100,D,,A,,A
20232,05095224,51,0,1,,A,,A,,A,,A,85,D,,A,160,D,,A,,A
20232,05095244,24,0,1,,A,,A,,A,,A,,A,,A,40,D,,A,,A
20232,05095264,21,0,1,,A,,A,,A,,A,,A,,A,,A,,A,200,D
20232,05095274,23,0,1,,A,,A,,A,,A,,A,,A,750,D,,A,,A
20232,05095294,46,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05095324,31,0,1,,A,,A,,A,,A,60,D,,A,220,D,,A,,A
20232,05095344,37,0,1,,A,,A,,A,,A,,A,,A,25,D,,A,,A
20232,05095354,30,0,1,,A,,A,,A,,A,,A,,A,200,D,,A,,A
20232,05095374,36,0,1,,A,,A,,A,60,D,,A,,A,,A,,A,,A
20232,05095444,42,0,1,,A,,A,,A,,A,,A,,A,300,D,,A,,A
20232,05095544,15,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05095564,84,0,1,,A,,A,,A,,A,,A,3,D,576,D,,A,,A
20232,05095594,30,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A
20232,05095634,42,0,1,,A,,A,18,D,,A,,A,,A,60,D,,A,,A
20232,05095674,33,0,1,,A,,A,,A,,A,,A,,A,600,D,,A,,A
20232,05095744,60,0,1,,A,,A,,A,,A,,A,,A,120,D,,A,,A
20232,05095784,28,0,1,,A,,A,,A,200,D,,A,,A,8,D,,A,,A
20232,05095794,33,0,1,117,D,,A,,A,363,D,,A,15,D,,A,,A,,A
20232,05095844,34,0,1,,A,,A,,A,,A,,A,45,D,,A,,A,,A
20232,05095854,38,0,1,,A,,A,,A,,A,,A,,A,60,D,,A,,A
20232,05095884,33,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05096024,58,0,1,,A,,A,50,D,,A,,A,,A,75,D,,A,,A
20232,05096064,21,0,1,,A,,A,,A,,A,,A,,A,55,D,,A,,A
20232,05096124,25,0,1,,A,,A,,A,,A,,A,,A,50,D,,A,,A
20232,05096144,57,0,1,,A,,A,,A,,A,40,D,,A,515,D,,A,,A
20232,05096174,48,0,1,,A,,A,,A,,A,,A,,A,62,D,,A,,A
20232,05096244,21,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05096254,30,0,1,,A,,A,,A,,A,,A,9,D,,A,,A,,A
20232,05096274,43,0,1,,A,,A,,A,,A,120,D,,A,600,D,,A,,A
20232,05096344,35,0,1,,A,,A,,A,,A,,A,,A,200,D,,A,,A
20232,05096354,59,0,1,,A,,A,,A,,A,,A,,A,305,D,,A,,A
20232,05096364,35,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05096424,23,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05096464,32,0,1,,A,,A,,A,,A,,A,,A,420,D,,A,,A
20232,05096564,45,0,1,,A,,A,,A,,A,,A,150,D,40,D,,A,,A
20232,05096574,35,0,1,,A,,A,,A,100,D,,A,,A,40,D,,A,,A
20232,05096664,19,0,1,,A,,A,,A,5,D,,A,,A,,A,,A,,A
20232,05096684,49,0,1,,A,,A,,A,,A,80,D,,A,190,D,,A,842,F
20232,05096714,35,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05096724,27,0,1,,A,,A,,A,,A,,A,,A,,A,,A,863,D
20232,05096754,20,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05096764,54,0,1,,A,,A,,A,,A,,A,225,D,,A,,A,,A
20232,05096784,28,0,1,,A,,A,,A,,A,,A,,A,50,D,,A,,A
20232,05096804,36,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05096834,16,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05096854,10,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05096864,42,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05096884,28,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05096914,27,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05096924,32,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05096944,36,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A
20232,05096954,23,0,1,,A,,A,,A,,A,,A,30,D,150,D,50,D,,A
20232,05096984,49,0,1,,A,,A,,A,,A,,A,,A,252,D,,A,,A
20232,05097004,10,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05097034,56,0,1,,A,,A,,A,,A,,A,,A,60,D,,A,,A
20232,05097084,23,0,1,,A,,A,,A,,A,,A,,A,75,F,,A,,A
20232,05097134,38,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A
20232,05097144,21,0,1,,A,,A,,A,,A,,A,,A,100,D,,A,,A
20232,05097164,26,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05097234,37,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05097274,45,0,1,,A,,A,,A,,A,60,D,,A,250,D,,A,,A
20232,05097294,39,0,1,16,D,,A,,A,0,D,25,D,,A,40,D,,A,,A
20232,05097334,43,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A
20232,05097354,32,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05097364,24,0,1,,A,,A,,A,,A,,A,,A,60,D,,A,,A
20232,05097374,14,0,1,,A,,A,,A,90,D,,A,,A,,A,,A,,A
20232,05097404,25,0,1,,A,,A,,A,,A,,A,,A,25,D,,A,,A
20232,05097424,34,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05097434,44,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05097554,49,0,1,,A,,A,,A,,A,,A,,A,200,D,,A,,A
20232,05097584,51,0,1,,A,60,D,100,D,,A,327,D,,A,520,D,,A,,A
20232,05097604,26,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05097614,18,0,1,,A,,A,,A,,A,,A,,A,105,D,,A,,A
20232,05097624,44,0,1,,A,,A,,A,,A,,A,,A,30,D,,A,,A
20232,05097644,30,0,1,,A,,A,,A,,A,,A,,A,75,D,,A,,A
20232,05097664,44,0,1,,A,,A,,A,80,D,,A,,A,270,D,,A,,A
20232,05097694,29,0,1,,A,,A,,A,75,D,,A,,A,60,D,,A,,A
20232,05097704,29,0,1,,A,,A,,A,,A,,A,,A,45,D,,A,,A
20232,05097724,46,0,1,,A,,A,,A,,A,,A,,A,50,D,,A,,A
20232,05097734,36,0,1,,A,,A,,A,,A,,A,,A,160,D,,A,,A
20232,05097784,30,0,1,,A,,A,,A,,A,,A,,A,33,D,,A,,A
20232,05097794,28,0,1,,A,,A,,A,,A,,A,,A,100,D,,A,,A
20232,05097804,33,0,1,,A,,A,,A,,A,,A,,A,120,D,,A,,A
20232,05097834,41,0,1,,A,,A,,A,,A,120,D,,A,300,D,,A,,A
20232,05097874,22,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05097934,63,0,1,,A,,A,,A,,A,,A,,A,40,D,,A,,A
20232,05097944,17,0,1,,A,,A,,A,210,D,,A,,A,,A,,A,,A
20232,05098044,78,0,1,36,D,,A,,A,36,D,,A,,A,40,D,,A,,A
20232,05098054,39,0,1,,A,,A,,A,,A,,A,,A,40,D,,A,,A
20232,05098064,25,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05098094,19,0,1,,A,,A,,A,75,D,,A,,A,,A,,A,,A
20232,05098114,16,0,1,,A,,A,,A,,A,,A,,A,120,D,,A,,A
20232,05098164,52,0,1,,A,,A,,A,,A,,A,9,D,50,D,,A,,A
20232,05098174,55,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05098204,42,0,1,,A,,A,,A,,A,,A,18,D,25,D,,A,,A
20232,05098244,15,0,1,,A,,A,,A,130,D,,A,,A,40,D,,A,,A
20232,05098264,35,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05098284,32,0,1,,A,,A,,A,,A,,A,,A,200,D,,A,,A
20232,05098294,15,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05098304,18,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05098314,42,0,1,,A,,A,,A,,A,,A,,A,1000,D,,A,,A
20232,05098344,26,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05098364,29,0,1,,A,,A,,A,,A,12,D,,A,130,D,,A,,A
20232,05098394,19,0,1,,A,,A,,A,45,D,,A,,A,,A,,A,,A
20232,05098454,39,0,1,,A,,A,2,D,,A,,A,,A,,A,,A,,A
20232,05098464,35,0,1,49,D,,A,,A,151,D,,A,,A,100,D,,A,,A
20232,05098494,84,0,1,,A,,A,,A,,A,,A,75,D,,A,,A,,A
20232,05098504,33,0,1,,A,,A,,A,,A,60,D,,A,20,D,,A,,A
20232,05098514,37,0,1,,A,,A,,A,,A,,A,,A,25,D,,A,,A
20232,05098524,57,0,1,,A,,A,,A,,A,,A,,A,100,D,,A,,A
20232,05098564,22,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05098604,32,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05098614,23,0,1,,A,,A,,A,,A,240,D,,A,,A,,A,,A
20232,05098634,39,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05098674,56,0,1,,A,,A,,A,,A,,A,,A,45,F,,A,,A
20232,05098684,11,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05098694,31,0,1,,A,,A,,A,,A,,A,,A,250,D,,A,,A
20232,05098714,50,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05098734,16,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05098764,14,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05098774,31,0,1,,A,,A,,A,,A,,A,,A,275,D,,A,,A
20232,05098814,32,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05098854,27,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05098884,27,0,1,,A,,A,,A,32,D,,A,,A,,A,,A,,A
20232,05098894,40,0,1,,A,,A,,A,,A,,A,21,D,,A,,A,,A
20232,05098954,16,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05098994,45,0,1,,A,,A,30,D,,A,,A,,A,,A,,A,,A
20232,05099004,34,0,1,,A,,A,,A,,A,,A,,A,300,D,,A,,A
20232,05099024,24,0,1,,A,,A,,A,,A,,A,,A,120,D,,A,,A
20232,05099034,22,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05099044,40,0,1,,A,,A,,A,,A,,A,,A,20,D,,A,,A
20232,05099054,33,0,1,,A,,A,,A,,A,,A,60,D,,A,,A,,A
20232,05099144,45,0,1,,A,,A,,A,,A,,A,,A,60,D,,A,,A
20232,05099204,61,0,1,12,D,,A,,A,12,D,,A,,A,,A,,A,,A
20232,05099264,47,0,1,,A,,A,,A,,A,,A,45,D,175,D,,A,,A
20232,05099274,34,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05099314,27,0,1,,A,,A,,A,,A,,A,30,D,90,D,,A,,A
20232,05099364,19,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05099374,43,0,1,,A,,A,,A,15,D,,A,,A,35,D,,A,,A
20232,05099394,19,0,1,,A,,A,,A,96,D,,A,,A,,A,,A,,A
20232,05099454,68,0,1,,A,,A,,A,,A,,A,,A,40,D,,A,,A
20232,05099474,40,0,1,,A,,A,,A,,A,,A,,A,30,D,,A,,A
20232,05099534,31,0,1,,A,,A,,A,,A,,A,,A,30,D,,A,,A
20232,05099564,46,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05099594,34,0,1,,A,,A,,A,,A,300,D,,A,40,D,,A,,A
20232,05099614,40,0,1,,A,,A,,A,,A,,A,12,D,,A,,A,,A
20232,05099634,47,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05099644,35,0,1,,A,,A,,A,,A,,A,,A,175,D,,A,,A
20232,05099664,32,0,1,,A,,A,,A,,A,30,D,,A,225,D,,A,,A
20232,05099704,51,0,1,,A,,A,,A,,A,,A,,A,50,D,,A,,A
20232,05099714,23,0,1,,A,,A,,A,180,D,,A,30,D,75,D,,A,,A
20232,05099794,27,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05099874,54,0,1,,A,,A,,A,,A,,A,,A,28,D,,A,,A
20232,05099894,22,0,1,,A,,A,,A,,A,,A,,A,32,D,,A,,A
20232,05099904,56,0,1,,A,,A,,A,,A,35,D,,A,150,D,,A,,A
20232,05099944,69,0,1,,A,,A,,A,,A,80,D,,A,220,D,,A,,A
20232,05099994,27,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05100004,25,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A
20232,05100054,47,0,1,,A,,A,,A,,A,30,D,9,D,,A,150,D,,A
20232,05100074,27,0,1,,A,,A,,A,,A,,A,,A,,A,,A,230,D
20232,05100174,17,0,1,,A,,A,,A,,A,,A,,A,84,D,,A,,A
20232,05100184,35,0,1,,A,,A,,A,60,D,,A,,A,,A,,A,,A
20232,05100194,42,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05100234,57,0,1,,A,,A,,A,,A,,A,,A,300,D,,A,,A
20232,05100264,28,0,1,,A,,A,,A,,A,30,D,,A,,A,,A,,A
20232,05100274,25,0,1,,A,,A,,A,270,D,,A,,A,,A,,A,,A
20232,05100304,27,0,1,,A,,A,,A,,A,,A,,A,30,D,,A,,A
20232,05100354,20,0,1,,A,,A,,A,160,D,,A,,A,,A,,A,,A
20232,05100374,47,0,1,,A,,A,,A,,A,,A,,A,70,D,,A,,A
20232,05100414,43,0,1,,A,,A,60,D,,A,50,D,,A,,A,,A,,A
20232,05100464,31,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A
20232,05100484,20,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05100494,40,0,1,,A,,A,,A,,A,,A,,A,400,D,,A,,A
20232,05100524,23,0,1,,A,,A,,A,,A,,A,,A,135,D,,A,,A
20232,05100574,36,0,1,,A,,A,,A,,A,,A,,A,60,D,,A,,A
20232,05100584,32,0,1,,A,,A,,A,,A,20,D,,A,,A,,A,,A
20232,05100674,50,0,1,,A,,A,,A,,A,65,D,,A,180,D,,A,,A
20232,05100684,30,0,1,,A,,A,,A,90,D,,A,,A,120,D,,A,,A
20232,05100714,24,0,1,,A,,A,,A,,A,,A,,A,240,D,,A,,A
20232,05100814,31,0,1,,A,,A,,A,,A,,A,12,D,200,D,,A,,A
20232,05100824,62,0,1,,A,,A,,A,,A,,A,,A,275,D,,A,,A
20232,05100934,45,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A
20232,05100944,16,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05100954,67,0,1,,A,,A,,A,,A,90,D,,A,315,D,,A,,A
20232,05100994,58,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05101004,48,0,1,,A,,A,,A,,A,,A,,A,1007,D,,A,,A
20232,05101014,31,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05101064,22,0,1,,A,,A,,A,,A,,A,,A,762,D,,A,,A
20232,05101114,32,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05101124,43,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05101154,31,0,1,,A,,A,,A,,A,,A,,A,45,D,,A,,A
20232,05101214,40,0,1,,A,,A,,A,,A,,A,,A,300,D,,A,,A
20232,05101224,47,0,1,,A,,A,,A,,A,,A,,A,90,D,,A,,A
20232,05101254,61,0,1,,A,,A,,A,,A,,A,,A,100,D,,A,,A
20232,05101284,16,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05101314,40,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05101334,33,0,1,,A,,A,,A,,A,,A,,A,200,D,,A,,A
